agi_locus	source	family	evidence_note
AT2G37920	EMB	EMB_essential	SeedGenes: EMB 1513 (Not Confirmed) - Unknown
AT2G38020	EMB	EMB_essential	SeedGenes: VCL 1 (Confirmed) - Vacuolar Protein Sorting (Vps16)
AT2G38040	CURATED_FAMILY	ACCase-CT	CAC3 / BC (biotin carboxylase)
AT2G38280	EMB	EMB_essential	SeedGenes: FAC 1 (Confirmed) - AMP Deaminase
AT2G38670	EMB	EMB_essential	SeedGenes: PECT 1 (Confirmed) - Phosphatidylethanolamine Biosynthesis
AT2G38770	EMB	EMB_essential	SeedGenes: EMB 2765 (Confirmed) - U5 Associated Protein (Aquarius)
AT2G39080	EMB	EMB_essential	SeedGenes: EMB 2799 (Not Confirmed) - Unknown
AT2G39140	EMB	EMB_essential	SeedGenes: PDE 328 (Confirmed) - Pseudouridine Synthase; RNA binding
AT2G39770	EMB	EMB_essential	SeedGenes: CYT 1 (Confirmed) - Mannose-1-Phosphate Guanyltransferase; GDP-Mannose Pyrophosphorylase
AT2G40930	EMB	EMB_essential	SeedGenes: PDE 323 (Not Confirmed) - Ubiquitin-Specific Protease (UBP5)
AT2G41350	EMB	EMB_essential	SeedGenes: EMB 2819 (Not Confirmed) - HAUS1 Subunit of Augmin Complex
AT2G41500	EMB	EMB_essential	SeedGenes: EMB 2776 (Confirmed) - U4/U6 snRNP (Prp4)
AT2G41720	EMB	EMB_essential	SeedGenes: EMB 2654 (Not Confirmed) - PPR Protein
AT2G43360	EMB	EMB_essential	SeedGenes: BIO 2 (Confirmed) - Biotin Synthase
AT2G43650	EMB	EMB_essential	SeedGenes: EMB 2777 (Not Confirmed) - U3 snoRNP (Utp3); Processome Small Subunit
AT2G44190	EMB	EMB_essential	SeedGenes: EMB 3116 (Confirmed) - Novel Microtubule Associated Protein
AT2G45000	EMB	EMB_essential	SeedGenes: EMB 2766 (Confirmed) - COPII Coat Protein (Sec31)
AT2G45270	EMB	EMB_essential	SeedGenes: GCP 1 (Confirmed) - Mitochondrial Glycoprotease
AT2G45330	EMB	EMB_essential	SeedGenes: EMB 1067 (Confirmed) - 2' tRNA Phosphotransferase
AT2G45690	EMB	EMB_essential	SeedGenes: SSE (Confirmed) - Peroxisomal Biogenesis Factor (Pex16)
AT2G47620	EMB	EMB_essential	SeedGenes: AtSWI 3A (Confirmed) - DNA Binding Protein
AT2G47940	EMB	EMB_essential	SeedGenes: EMB 3117 (Not Confirmed) - Chloroplast DegP2 Protease
AT2G48120	EMB	EMB_essential	SeedGenes: PAC (Confirmed) - Uncertain
AT3G01370	EMB	EMB_essential	SeedGenes: AtCFM 2 (Confirmed) - Chloroplast Intron Splicing Factor
AT3G01610	EMB	EMB_essential	SeedGenes: EMB 1354 (Not Confirmed) - AAA ATPase (CD48C)
AT3G02280	EMB	EMB_essential	SeedGenes: ATR 3 (Confirmed) - Cytochrome P450 Reductase Like
AT3G02660	EMB	EMB_essential	SeedGenes: EMB 2768 (Confirmed) - Tyrosine tRNA Synthetase
AT3G03710	EMB	EMB_essential	SeedGenes: PDE 326 (Confirmed) - Plastid Polynucleotide Phosphorylase
AT3G04260	EMB	EMB_essential	SeedGenes: PDE 324 (Confirmed) - SAP Domain Protein (PTAC3)
AT3G04340	EMB	EMB_essential	SeedGenes: EMB 2458 (Confirmed) - FtsH Protease (AAA ATPase)
AT3G04400	EMB	EMB_essential	SeedGenes: EMB 2171 (Not Confirmed) - Ribosomal Protein L17/L23
AT3G04460	EMB	EMB_essential	SeedGenes: PEX 12 (Confirmed) - Peroxisomal Protein
AT3G04520	EMB	EMB_essential	SeedGenes: THA 2 (Confirmed) - Threonine Aldolase
AT3G04680	EMB	EMB_essential	SeedGenes: CLPS 3 (Confirmed) - Polyadenylation Factor
AT3G04790	EMB	EMB_essential	SeedGenes: EMB 3119 (Confirmed) - Ribulose-5-Phosphate Isomerase
AT3G04870	EMB	EMB_essential	SeedGenes: PDE 181 (Not Confirmed) - Zeta Carotene Desaturase
AT3G05680	EMB	EMB_essential	SeedGenes: EMB 2016 (Confirmed) - Unknown
AT3G06350	EMB	EMB_essential	SeedGenes: EMB 3004 (Confirmed) - Dehydroquinate Dehydratase; Shikimate Dehydrogenase
AT3G06430	EMB	EMB_essential	SeedGenes: EMB 2750 (Confirmed) - PPR Protein
AT3G06960	EMB	EMB_essential	SeedGenes: PDE 320 (Not Confirmed) - Uncertain
AT3G07060	EMB	EMB_essential	SeedGenes: EMB 1974 (Confirmed) - Unknown
AT3G07430	EMB	EMB_essential	SeedGenes: EMB 1990 (Confirmed) - Uncertain
AT3G08850	EMB	EMB_essential	SeedGenes: RAPTOR 1 (Confirmed) - Binding Partner of Target of Rapamycin (TOR) Kinase
AT3G10220	EMB	EMB_essential	SeedGenes: EMB 2804 (Confirmed) - Tubulin Folding Cofactor B
AT3G10670	EMB	EMB_essential	SeedGenes: AtNAP 7 (Confirmed) - Plastidic SufC-Like ABC/ATPase
AT3G10690	EMB	EMB_essential	SeedGenes: AtGYR A (Confirmed) - DNA Gyrase Subunit A
AT3G11670	EMB	EMB_essential	SeedGenes: DGD 1 (Confirmed) - Digalactosyl Diacylglycerol Synthase
AT3G11940	EMB	EMB_essential	SeedGenes: AML 1 (Confirmed) - Ribosomal Protein S5
AT3G12080	EMB	EMB_essential	SeedGenes: EMB 2738 (Confirmed) - Uncertain
